family_id,week,assigned,challenge_completed,goal_saving_minor,eligible_saving_minor,growth_delta_cm,growth_total_cm,points,purchase_days_synthetic
family_000405,2026-W33,True,True,5132,13270,4.4,4.4,51,3
family_000405,2026-W34,True,True,5175,8084,3.8,8.2,45,2
family_000405,2026-W35,True,False,0,2390,1.6,9.8,4,2
family_000405,2026-W36,True,False,0,6167,1.6,11.4,12,2
family_000406,2026-W33,True,True,8203,18098,4.8,4.8,69,3
family_000406,2026-W34,True,True,5270,7573,4.0,8.8,48,2
family_000406,2026-W35,True,True,3352,12267,4.0,12.8,57,2
family_000406,2026-W36,True,True,3866,15632,3.4,16.2,68,1
family_000415,2026-W33,True,False,684,3275,0.8,0.8,6,1
family_000415,2026-W34,True,True,4221,5322,3.0,3.8,39,1
family_000415,2026-W35,True,True,4091,6635,3.0,6.8,42,1
family_000415,2026-W36,True,False,650,4123,1.6,8.4,8,2
family_000417,2026-W33,True,True,2128,8485,3.6,3.6,41,2
family_000417,2026-W34,True,True,1638,3443,2.8,6.4,31,1
family_000417,2026-W35,True,False,0,492,0.8,7.2,0,1
family_000417,2026-W36,True,False,0,871,1.6,8.8,1,2
family_000420,2026-W33,True,True,7061,12371,4.8,4.8,57,3
family_000420,2026-W34,True,True,10514,19033,5.0,9.8,75,3
family_000420,2026-W35,True,False,1991,14870,1.2,11.0,37,1
family_000420,2026-W36,True,True,7303,18357,4.4,15.4,77,2
family_000423,2026-W33,True,True,2178,2905,2.8,2.8,30,1
family_000423,2026-W34,True,True,3982,9408,4.4,7.2,43,3
family_000423,2026-W35,True,False,1294,3493,1.6,8.8,6,2
family_000423,2026-W36,True,True,3428,8800,2.8,11.6,42,1
family_000433,2026-W33,True,False,0,7804,1.6,1.6,15,2
family_000433,2026-W34,True,True,8545,18018,5.0,6.6,73,3
family_000433,2026-W35,True,True,2425,4702,2.8,9.4,34,1
family_000433,2026-W36,True,False,1082,3151,0.8,10.2,6,1
family_000436,2026-W33,True,True,5608,11084,4.4,4.4,47,3
family_000436,2026-W34,True,True,6900,10850,4.6,9.0,50,3
family_000436,2026-W35,True,True,2570,8236,4.4,13.4,41,3
family_000436,2026-W36,True,True,3304,6965,3.6,17.0,38,2
family_000437,2026-W33,True,True,5422,6182,3.8,3.8,41,2
family_000437,2026-W34,True,True,2654,10073,3.8,7.6,49,2
family_000437,2026-W35,True,True,11541,13872,3.0,10.6,56,1
family_000437,2026-W36,True,True,8218,11688,3.6,14.2,48,2
family_000438,2026-W33,True,True,10827,18909,4.6,4.6,82,2
family_000438,2026-W34,True,False,2474,15864,2.6,7.2,35,3
family_000438,2026-W35,True,False,0,15332,1.8,9.0,34,2
family_000438,2026-W36,True,True,3896,9718,3.0,12.0,48,1
family_000440,2026-W33,True,True,2102,15795,4.0,4.0,64,2
family_000440,2026-W34,True,True,4179,17310,3.4,7.4,71,1
family_000440,2026-W35,True,True,16858,23481,4.2,11.6,83,2
family_000440,2026-W36,True,True,8297,14302,4.2,15.8,65,2
family_000446,2026-W33,True,True,1637,6306,3.6,3.6,37,2
family_000446,2026-W34,True,True,2858,8955,2.8,6.4,42,1
family_000446,2026-W35,True,True,3179,18458,3.2,9.6,69,1
family_000446,2026-W36,True,True,4671,7989,3.6,13.2,40,2
family_000447,2026-W33,True,True,5239,14936,3.8,3.8,58,2
family_000447,2026-W34,True,True,3630,20996,4.0,7.8,74,2
family_000447,2026-W35,True,False,0,6264,1.6,9.4,12,2
family_000447,2026-W36,True,False,0,5528,0.8,10.2,11,1
family_000448,2026-W33,True,True,1653,3471,3.6,3.6,31,2
family_000448,2026-W34,True,True,2156,4272,2.8,6.4,33,1
family_000448,2026-W35,True,True,4033,7179,3.0,9.4,43,1
family_000448,2026-W36,True,False,0,0,1.6,11.0,0,2
family_000450,2026-W33,True,True,3218,3218,3.6,3.6,31,2
family_000450,2026-W34,True,True,4125,5467,2.8,6.4,35,1
family_000450,2026-W35,True,True,1862,4338,3.6,10.0,33,2
family_000450,2026-W36,True,True,4049,10754,3.0,13.0,50,1
family_000452,2026-W33,True,True,2599,13307,4.6,4.6,55,3
family_000452,2026-W34,True,True,6880,18298,4.8,9.4,69,3
family_000452,2026-W35,True,True,7259,20631,4.8,14.2,74,3
family_000452,2026-W36,True,True,3246,14555,4.8,19.0,62,3
family_000455,2026-W33,True,False,0,9741,1.8,1.8,23,2
family_000455,2026-W34,True,False,0,4786,0.8,2.6,9,1
family_000455,2026-W35,True,True,871,6766,3.8,6.4,42,2
family_000455,2026-W36,True,False,0,4520,1.6,8.0,9,2
family_000459,2026-W33,True,True,2440,7243,3.6,3.6,39,2
family_000459,2026-W34,True,True,1973,8545,4.4,8.0,42,3
family_000459,2026-W35,True,False,616,5471,1.8,9.8,14,2
family_000459,2026-W36,True,True,7774,14293,3.8,13.6,57,2
family_000460,2026-W33,True,True,3749,21402,4.6,4.6,71,3
family_000460,2026-W34,True,True,15403,27021,3.2,7.8,87,1
family_000460,2026-W35,True,True,5459,18702,4.2,12.0,74,2
family_000460,2026-W36,True,True,6889,18269,3.8,15.8,65,2
family_000461,2026-W33,True,True,4931,5901,3.8,3.8,40,2
family_000461,2026-W34,True,True,5172,9044,3.8,7.6,47,2
family_000461,2026-W35,True,True,2935,5289,3.6,11.2,35,2
family_000461,2026-W36,True,True,11444,13834,3.0,14.2,56,1
family_000469,2026-W33,True,True,8705,13459,4.4,4.4,51,3
family_000469,2026-W34,True,True,1102,4853,3.8,8.2,38,2
family_000469,2026-W35,True,False,0,6934,1.8,10.0,17,2
family_000469,2026-W36,True,False,0,2605,1.6,11.6,5,2
family_000470,2026-W33,True,False,3471,3471,1.6,1.6,6,2
family_000470,2026-W34,True,True,5208,9111,4.4,6.0,43,3
family_000470,2026-W35,True,True,6288,12298,4.4,10.4,49,3
family_000470,2026-W36,True,True,5993,8061,3.6,14.0,41,2
family_000475,2026-W33,True,False,0,7315,1.6,1.6,14,2
family_000475,2026-W34,True,False,0,10170,1.0,2.6,24,1
family_000475,2026-W35,True,False,0,4584,1.6,4.2,9,2
family_000475,2026-W36,True,False,0,3440,1.6,5.8,6,2
family_000476,2026-W33,True,False,594,6503,1.2,1.2,21,1
family_000476,2026-W34,True,True,4156,6486,3.6,4.8,37,2
family_000476,2026-W35,True,True,1677,2265,2.8,7.6,29,1
family_000476,2026-W36,True,True,8541,10407,4.0,11.6,53,2
family_000483,2026-W33,True,True,4403,6040,3.6,3.6,37,2
family_000483,2026-W34,True,True,2819,4320,2.8,6.4,33,1
family_000483,2026-W35,True,False,0,0,1.6,8.0,0,2
family_000483,2026-W36,True,True,5485,5485,3.8,11.8,39,2
family_000485,2026-W33,True,True,6891,14670,4.8,4.8,62,3
family_000485,2026-W34,True,False,0,1713,1.6,6.4,3,2
family_000485,2026-W35,True,False,0,5390,2.4,8.8,10,3
family_000485,2026-W36,True,False,0,6390,1.6,10.4,12,2
family_000487,2026-W33,True,True,1346,3273,3.0,3.0,35,1
family_000487,2026-W34,True,True,5929,5929,3.6,6.6,36,2
family_000487,2026-W35,True,True,2658,7745,4.6,11.2,44,3
family_000487,2026-W36,True,True,5206,10106,3.6,14.8,45,2
family_000488,2026-W33,True,True,3645,9514,3.8,3.8,48,2
family_000488,2026-W34,True,True,3178,7000,2.8,6.6,39,1
family_000488,2026-W35,True,True,1166,1936,2.8,9.4,28,1
family_000488,2026-W36,True,True,1944,5163,2.8,12.2,35,1
family_000495,2026-W33,True,True,6385,10660,3.8,3.8,50,2
family_000495,2026-W34,True,False,0,2619,1.6,5.4,5,2
family_000495,2026-W35,True,False,0,4360,2.4,7.8,8,3
family_000495,2026-W36,True,True,1854,5772,4.4,12.2,36,3
family_000496,2026-W33,True,True,5685,10330,4.6,4.6,49,3
family_000496,2026-W34,True,True,5195,10148,3.0,7.6,49,1
family_000496,2026-W35,True,False,0,7845,1.0,8.6,19,1
family_000496,2026-W36,True,True,2715,13121,4.0,12.6,59,2
family_000510,2026-W33,True,True,4045,5710,3.6,3.6,36,2
family_000510,2026-W34,True,True,2942,3932,3.6,7.2,32,2
family_000510,2026-W35,True,True,5418,7739,3.6,10.8,40,2
family_000510,2026-W36,True,False,0,4379,1.6,12.4,8,2
family_000517,2026-W33,True,True,4444,6189,3.6,3.6,37,2
family_000517,2026-W34,True,True,2772,3656,2.8,6.4,32,1
family_000517,2026-W35,True,True,6266,13710,4.8,11.2,60,3
family_000517,2026-W36,True,True,3819,4610,2.8,14.0,34,1
family_000526,2026-W33,True,False,692,7053,1.6,1.6,14,2
family_000526,2026-W34,True,True,1132,7398,2.8,4.4,39,1
family_000526,2026-W35,True,True,5838,6587,3.6,8.0,38,2
family_000526,2026-W36,True,True,1758,3511,3.6,11.6,32,2
family_000533,2026-W33,True,True,3257,3257,3.0,3.0,35,1
family_000533,2026-W34,True,False,0,11244,1.6,4.6,22,2
family_000533,2026-W35,True,True,3082,5363,3.6,8.2,35,2
family_000533,2026-W36,True,True,2907,8223,4.4,12.6,41,3
family_000534,2026-W33,True,False,0,12542,1.6,1.6,25,2
family_000534,2026-W34,True,True,7284,22054,4.0,5.6,77,2
family_000534,2026-W35,True,True,7819,33442,4.6,10.2,95,3
family_000534,2026-W36,True,True,7036,20136,4.0,14.2,73,2
family_000545,2026-W33,True,False,1055,2149,1.6,1.6,4,2
family_000545,2026-W34,True,True,4739,8324,3.6,5.2,41,2
family_000545,2026-W35,True,True,4940,5922,3.0,8.2,40,1
family_000545,2026-W36,True,False,1956,3783,1.6,9.8,7,2
family_000547,2026-W33,True,True,4065,7948,2.8,2.8,40,1
family_000547,2026-W34,True,True,7082,10113,4.6,7.4,49,3
family_000547,2026-W35,True,True,3588,8300,2.8,10.2,41,1
family_000547,2026-W36,True,False,0,9602,2.0,12.2,27,2
family_000552,2026-W33,True,False,573,9518,2.4,2.4,19,3
family_000552,2026-W34,True,True,5915,11205,3.8,6.2,51,2
family_000552,2026-W35,True,True,5344,7424,4.4,10.6,39,3
family_000552,2026-W36,True,True,4552,8661,4.6,15.2,46,3
family_000557,2026-W33,True,True,10205,15889,3.4,3.4,68,1
family_000557,2026-W34,True,True,11323,20097,4.2,7.6,77,2
family_000557,2026-W35,True,False,2513,9732,2.0,9.6,27,2
family_000557,2026-W36,True,False,2029,23338,2.8,12.4,54,3
family_000559,2026-W33,True,True,4346,10736,3.2,3.2,54,1
family_000559,2026-W34,True,True,10408,20250,4.0,7.2,73,2
family_000559,2026-W35,True,False,0,7825,1.6,8.8,15,2
family_000559,2026-W36,True,False,0,14821,2.4,11.2,29,3
family_000562,2026-W33,True,True,3696,17266,3.2,3.2,67,1
family_000562,2026-W34,True,True,5976,14970,4.4,7.6,54,3
family_000562,2026-W35,True,True,3092,12938,3.6,11.2,50,2
family_000562,2026-W36,True,True,3772,8323,3.8,15.0,45,2
family_000565,2026-W33,True,True,2054,7063,3.6,3.6,39,2
family_000565,2026-W34,True,True,1569,4956,3.6,7.2,34,2
family_000565,2026-W35,True,False,0,2856,0.8,8.0,5,1
family_000565,2026-W36,True,True,2353,4963,3.8,11.8,38,2
family_000567,2026-W33,True,True,13492,30720,4.4,4.4,102,2
family_000567,2026-W34,True,True,3625,26713,4.6,9.0,82,3
family_000567,2026-W35,True,True,21491,49297,4.4,13.4,139,2
family_000567,2026-W36,True,True,14260,40313,4.4,17.8,121,2
family_000570,2026-W33,True,True,3773,16728,4.0,4.0,66,2
family_000570,2026-W34,True,True,5361,11840,4.2,8.2,60,2
family_000570,2026-W35,True,False,0,11056,1.6,9.8,22,2
family_000570,2026-W36,True,False,0,4982,0.8,10.6,9,1
family_000582,2026-W33,True,False,783,19466,1.8,1.8,42,2
family_000582,2026-W34,True,True,3240,6250,4.4,6.2,37,3
family_000582,2026-W35,True,False,899,899,1.6,7.8,1,2
family_000582,2026-W36,True,False,636,4201,2.4,10.2,8,3
family_000586,2026-W33,True,True,15635,18573,4.2,4.2,74,2
family_000586,2026-W34,True,False,2438,4143,1.0,5.2,12,1
family_000586,2026-W35,True,False,2628,4154,1.0,6.2,12,1
family_000586,2026-W36,True,True,3828,8786,3.8,10.0,46,2
family_000593,2026-W33,True,False,0,7483,1.6,1.6,14,2
family_000593,2026-W34,True,False,0,4646,1.6,3.2,9,2
family_000593,2026-W35,True,False,0,15763,1.6,4.8,31,2
family_000593,2026-W36,True,False,0,13919,1.8,6.6,31,2
family_000595,2026-W33,True,True,3032,10226,4.2,4.2,57,2
family_000595,2026-W34,True,False,0,7522,1.6,5.8,15,2
family_000595,2026-W35,True,False,0,8990,0.8,6.6,17,1
family_000595,2026-W36,True,True,8762,13563,3.2,9.8,60,1
family_000598,2026-W33,True,True,3712,3712,3.6,3.6,32,2
family_000598,2026-W34,True,True,5701,13117,4.4,8.0,51,3
family_000598,2026-W35,True,True,3577,6178,4.4,12.4,37,3
family_000598,2026-W36,True,False,1095,4250,2.4,14.8,8,3
family_000603,2026-W33,True,False,0,0,0.8,0.8,0,1
family_000603,2026-W34,True,False,838,2753,1.6,2.4,5,2
family_000603,2026-W35,True,False,0,5559,0.8,3.2,11,1
family_000603,2026-W36,True,False,892,892,0.8,4.0,1,1
family_000606,2026-W33,True,True,3209,13595,3.8,3.8,56,2
family_000606,2026-W34,True,True,4609,10322,4.4,8.2,45,3
family_000606,2026-W35,True,True,4688,11742,4.4,12.6,48,3
family_000606,2026-W36,True,True,9098,15808,4.6,17.2,60,3
family_000611,2026-W33,True,True,1850,1850,3.6,3.6,28,2
family_000611,2026-W34,True,False,718,1789,0.8,4.4,3,1
family_000611,2026-W35,True,True,5404,6546,3.6,8.0,38,2
family_000611,2026-W36,True,True,3486,8394,4.6,12.6,45,3
family_000614,2026-W33,True,True,7231,20414,4.2,4.2,77,2
family_000614,2026-W34,True,True,7909,24306,4.4,8.6,89,2
family_000614,2026-W35,True,False,3194,14495,2.2,10.8,40,2
family_000614,2026-W36,True,False,3077,13396,2.0,12.8,34,2
family_000618,2026-W33,True,False,0,12279,2.6,2.6,28,3
family_000618,2026-W34,True,False,1692,7493,1.8,4.4,18,2
family_000618,2026-W35,True,True,12457,30053,5.0,9.4,97,4
family_000618,2026-W36,True,True,7334,12287,3.2,12.6,57,1
family_000621,2026-W33,True,False,0,5480,1.2,1.2,18,1
family_000621,2026-W34,True,True,3748,13801,4.0,5.2,60,2
family_000621,2026-W35,True,False,0,1799,1.6,6.8,3,2
family_000621,2026-W36,True,True,2567,7066,3.8,10.6,43,2
family_000629,2026-W33,True,True,1974,4568,3.6,3.6,34,2
family_000629,2026-W34,True,False,0,5572,1.6,5.2,11,2
family_000629,2026-W35,True,False,0,5468,1.6,6.8,10,2
family_000629,2026-W36,True,True,5679,14048,3.6,10.4,53,2
family_000634,2026-W33,True,False,882,882,0.8,0.8,1,1
family_000634,2026-W34,True,True,4265,4980,3.6,4.4,34,2
family_000634,2026-W35,True,True,1567,6628,4.6,9.0,42,3
family_000634,2026-W36,True,True,3595,7320,3.8,12.8,43,2
family_000641,2026-W33,True,False,0,7680,1.6,1.6,15,2
family_000641,2026-W34,True,True,7934,10293,3.6,5.2,45,2
family_000641,2026-W35,True,True,5834,13575,4.4,9.6,52,3
family_000641,2026-W36,True,True,2866,18711,4.6,14.2,66,3
family_000643,2026-W33,True,True,5626,5626,3.6,3.6,36,2
family_000643,2026-W34,True,True,3124,6475,3.6,7.2,37,2
family_000643,2026-W35,True,True,2643,5656,3.6,10.8,36,2
family_000643,2026-W36,True,False,0,2913,0.8,11.6,5,1
family_000644,2026-W33,True,False,0,15417,2.6,2.6,34,3
family_000644,2026-W34,True,False,2404,10202,2.2,4.8,32,2
family_000644,2026-W35,True,False,0,10358,1.6,6.4,20,2
family_000644,2026-W36,True,True,3803,15516,4.2,10.6,68,2
family_000658,2026-W33,True,False,1207,13330,1.8,1.8,30,2
family_000658,2026-W34,True,True,9583,22328,4.8,6.6,77,3
family_000658,2026-W35,True,False,0,11196,2.4,9.0,22,3
family_000658,2026-W36,True,False,0,8637,1.6,10.6,17,2
family_000661,2026-W33,True,False,0,6131,0.8,0.8,12,1
family_000661,2026-W34,True,True,21841,24756,3.8,4.6,78,2
family_000661,2026-W35,True,True,4544,6158,2.8,7.4,37,1
family_000661,2026-W36,True,True,6467,6467,3.6,11.0,37,2
family_000665,2026-W33,True,True,2757,14546,3.0,3.0,58,1
family_000665,2026-W34,True,True,9383,15778,4.4,7.4,72,2
family_000665,2026-W35,True,True,7722,16810,4.2,11.6,70,2
family_000665,2026-W36,True,False,0,7296,0.8,12.4,14,1
family_000666,2026-W33,True,True,4763,4763,2.8,2.8,34,1
family_000666,2026-W34,True,True,6039,7100,3.6,6.4,39,2
family_000666,2026-W35,True,False,987,4021,1.8,8.2,12,2
family_000666,2026-W36,True,False,3585,4829,1.6,9.8,9,2
family_000675,2026-W33,True,True,5617,32476,5.0,5.0,109,3
family_000675,2026-W34,True,True,5129,17130,3.8,8.8,63,2
family_000675,2026-W35,True,False,0,14334,2.0,10.8,36,2
family_000675,2026-W36,True,True,4591,20878,3.4,14.2,78,1
family_000682,2026-W33,True,True,3181,7590,4.0,4.0,48,2
family_000682,2026-W34,True,True,3701,16370,3.8,7.8,61,2
family_000682,2026-W35,True,True,3603,8725,3.8,11.6,46,2
family_000682,2026-W36,True,True,6171,17982,4.0,15.6,68,2
family_000683,2026-W33,True,False,0,1110,0.8,0.8,2,1
family_000683,2026-W34,True,True,4328,12574,3.8,4.6,54,2
family_000683,2026-W35,True,True,2151,5941,3.6,8.2,36,2
family_000683,2026-W36,True,True,2879,17057,4.0,12.2,67,2
family_000684,2026-W33,True,True,5814,12764,3.8,3.8,54,2
family_000684,2026-W34,True,True,4868,7391,3.0,6.8,43,1
family_000684,2026-W35,True,True,4036,8109,3.6,10.4,41,2
family_000684,2026-W36,True,True,5862,11913,3.0,13.4,52,1
family_000686,2026-W33,True,True,9823,23330,4.0,4.0,79,2
family_000686,2026-W34,True,True,10381,17679,4.2,8.2,72,2
family_000686,2026-W35,True,False,3036,11877,1.8,10.0,27,2
family_000686,2026-W36,True,True,4720,20015,3.8,13.8,69,2
family_000688,2026-W33,True,True,6664,12799,4.2,4.2,62,2
family_000688,2026-W34,True,True,4605,17813,3.8,8.0,64,2
family_000688,2026-W35,True,True,12647,23603,5.0,13.0,84,3
family_000688,2026-W36,True,True,16018,35754,5.0,18.0,120,3
family_000689,2026-W33,True,True,4957,15707,5.0,5.0,68,3
family_000689,2026-W34,True,True,2517,12448,3.8,8.8,53,2
family_000689,2026-W35,True,False,0,7834,1.6,10.4,15,2
family_000689,2026-W36,True,True,4148,13460,4.6,15.0,55,3
family_000694,2026-W33,True,True,2753,4083,2.8,2.8,33,1
family_000694,2026-W34,True,True,6128,6811,4.4,7.2,38,3
family_000694,2026-W35,True,True,4705,8661,3.6,10.8,42,2
family_000694,2026-W36,True,True,2359,2359,2.8,13.6,29,1
family_000696,2026-W33,True,True,9744,14575,4.2,4.2,66,2
family_000696,2026-W34,True,True,10513,11691,3.6,7.8,48,2
family_000696,2026-W35,True,False,0,2661,0.8,8.6,5,1
family_000696,2026-W36,True,False,0,1834,1.6,10.2,3,2
family_000700,2026-W33,True,False,0,8415,1.8,1.8,20,2
family_000700,2026-W34,True,True,5198,9854,4.0,5.8,52,2
family_000700,2026-W35,True,False,0,9360,1.8,7.6,22,2
family_000700,2026-W36,True,False,0,23127,2.0,9.6,54,2
family_000702,2026-W33,True,False,0,3199,2.4,2.4,6,3
family_000702,2026-W34,True,False,0,17456,2.4,4.8,34,3
family_000702,2026-W35,True,True,3800,14879,4.0,8.8,62,2
family_000702,2026-W36,True,True,1623,6428,4.6,13.4,41,3
family_000708,2026-W33,True,True,6807,23807,5.0,5.0,84,3
family_000708,2026-W34,True,True,5004,11332,3.8,8.8,51,2
family_000708,2026-W35,True,True,5895,23686,4.8,13.6,80,3
family_000708,2026-W36,True,False,2904,9027,1.2,14.8,26,1
family_000716,2026-W33,True,True,1822,16202,4.8,4.8,65,3
family_000716,2026-W34,True,True,3715,7715,3.6,8.4,40,2
family_000716,2026-W35,True,True,2363,5435,4.4,12.8,35,3
family_000716,2026-W36,True,True,1820,6652,4.4,17.2,38,3
family_000718,2026-W33,True,True,4956,6776,4.4,4.4,38,3
family_000718,2026-W34,True,False,1111,3615,2.4,6.8,7,3
family_000718,2026-W35,True,True,19543,23060,5.0,11.8,83,3
family_000718,2026-W36,True,False,0,3838,1.6,13.4,7,2
family_000722,2026-W33,True,True,6979,6979,3.8,3.8,42,2
family_000722,2026-W34,True,False,642,8381,2.4,6.2,16,3
family_000722,2026-W35,True,True,2252,6271,3.6,9.8,37,2
family_000722,2026-W36,True,True,2721,5328,4.4,14.2,35,3
family_000725,2026-W33,True,False,930,930,0.8,0.8,1,1
family_000725,2026-W34,True,False,0,4140,1.6,2.4,8,2
family_000725,2026-W35,True,True,3402,8611,3.8,6.2,46,2
family_000725,2026-W36,True,True,3619,10158,4.0,10.2,53,2
family_000727,2026-W33,True,False,0,11073,1.8,1.8,26,2
family_000727,2026-W34,True,True,6570,7723,3.6,5.4,40,2
family_000727,2026-W35,True,True,2105,9188,4.4,9.8,43,3
family_000727,2026-W36,True,False,1260,2273,1.6,11.4,4,2
family_000735,2026-W33,True,True,5951,7818,3.6,3.6,40,2
family_000735,2026-W34,True,True,3430,3430,3.6,7.2,31,2
family_000735,2026-W35,True,True,2406,7524,3.6,10.8,40,2
family_000735,2026-W36,True,False,918,11699,2.0,12.8,31,2
family_000739,2026-W33,True,True,5311,6609,3.6,3.6,38,2
family_000739,2026-W34,True,False,0,2099,0.8,4.4,4,1
family_000739,2026-W35,True,False,0,2981,1.6,6.0,5,2
family_000739,2026-W36,True,True,6324,8426,3.6,9.6,41,2
family_000743,2026-W33,True,False,0,12636,1.6,1.6,25,2
family_000743,2026-W34,True,True,8158,10875,4.0,5.6,54,2
family_000743,2026-W35,True,True,2495,13070,4.0,9.6,59,2
family_000743,2026-W36,True,True,9991,20836,3.2,12.8,74,1
family_000745,2026-W33,False,False,0,0,0.0,0.0,0,2
family_000745,2026-W34,False,False,0,4857,0.0,0.0,0,2
family_000745,2026-W35,False,False,0,3895,0.0,0.0,0,2
family_000745,2026-W36,True,True,788,2075,3.6,3.6,29,2
family_000746,2026-W33,True,True,3674,11236,4.2,4.2,59,2
family_000746,2026-W34,True,False,0,10520,1.6,5.8,21,2
family_000746,2026-W35,True,True,4662,11678,4.0,9.8,56,2
family_000746,2026-W36,True,True,6446,14316,4.8,14.6,61,3
family_000753,2026-W33,True,False,0,7534,1.8,1.8,19,2
family_000753,2026-W34,True,True,5565,5565,4.0,5.8,44,2
family_000753,2026-W35,True,False,0,8028,1.8,7.6,20,2
family_000753,2026-W36,True,False,0,6429,2.4,10.0,12,3
family_000755,2026-W33,True,True,1642,13440,4.0,4.0,59,2
family_000755,2026-W34,True,False,0,6258,0.8,4.8,12,1
family_000755,2026-W35,True,True,5345,15554,4.0,8.8,64,2
family_000755,2026-W36,True,True,8281,25845,4.0,12.8,84,2
family_000760,2026-W33,True,True,3776,13115,2.8,2.8,51,1
family_000760,2026-W34,True,False,777,8077,2.4,5.2,16,3
family_000760,2026-W35,True,True,9693,15981,4.8,10.0,64,3
family_000760,2026-W36,True,True,4627,10197,4.6,14.6,49,3
family_000768,2026-W33,True,False,0,15197,1.6,1.6,30,2
family_000768,2026-W34,True,False,0,12359,1.6,3.2,24,2
family_000768,2026-W35,True,False,2655,7677,0.8,4.0,15,1
family_000768,2026-W36,True,True,5122,14482,4.2,8.2,65,2
family_000774,2026-W33,True,True,2910,3551,2.8,2.8,32,1
family_000774,2026-W34,True,False,0,1068,1.6,4.4,2,2
family_000774,2026-W35,True,True,2852,5093,3.6,8.0,35,2
family_000774,2026-W36,True,True,2096,4882,3.6,11.6,34,2
family_000780,2026-W33,True,True,9178,15076,4.6,4.6,59,3
family_000780,2026-W34,True,True,8171,9940,4.8,9.4,52,3
family_000780,2026-W35,True,True,6954,13220,4.6,14.0,55,3
family_000780,2026-W36,True,True,4868,7358,3.6,17.6,39,2
family_000800,2026-W33,True,True,2143,6289,3.6,3.6,37,2
family_000800,2026-W34,True,False,655,2088,1.6,5.2,4,2
family_000800,2026-W35,True,False,889,1966,1.6,6.8,3,2
family_000800,2026-W36,True,True,2422,14139,3.6,10.4,53,2
family_000802,2026-W33,True,True,5582,16518,4.0,4.0,66,2
family_000802,2026-W34,True,True,4227,21645,4.0,8.0,76,2
family_000802,2026-W35,True,True,2476,31633,4.2,12.2,100,2
family_000802,2026-W36,True,False,0,7504,2.6,14.8,19,3
family_000817,2026-W33,True,False,1041,5076,2.4,2.4,10,3
family_000817,2026-W34,True,False,736,3203,1.6,4.0,6,2
family_000817,2026-W35,True,True,1263,4077,3.8,7.8,37,2
family_000817,2026-W36,True,True,2230,8779,3.6,11.4,42,2
family_000818,2026-W33,True,True,4492,11130,4.0,4.0,55,2
family_000818,2026-W34,True,True,5678,14159,4.2,8.2,65,2
family_000818,2026-W35,True,False,0,10343,1.6,9.8,20,2
family_000818,2026-W36,True,True,2963,8775,3.8,13.6,46,2
family_000821,2026-W33,True,False,1624,4717,1.6,1.6,9,2
family_000821,2026-W34,True,True,5802,10229,3.8,5.4,49,2
family_000821,2026-W35,True,True,5092,5092,3.8,9.2,39,2
family_000821,2026-W36,True,True,6125,8997,3.8,13.0,46,2
family_000835,2026-W33,True,True,8800,13113,4.0,4.0,59,2
family_000835,2026-W34,True,False,0,2772,1.6,5.6,5,2
family_000835,2026-W35,True,True,3187,9310,3.8,9.4,47,2
family_000835,2026-W36,True,False,0,6524,1.6,11.0,13,2
family_000836,2026-W33,True,True,2228,5417,3.6,3.6,35,2
family_000836,2026-W34,True,False,0,6209,1.8,5.4,16,2
family_000836,2026-W35,True,True,4076,7806,3.6,9.0,40,2
family_000836,2026-W36,True,True,1574,6978,2.8,11.8,38,1
family_000838,2026-W33,True,True,2209,5320,3.6,3.6,35,2
family_000838,2026-W34,True,False,962,10531,1.0,4.6,25,1
family_000838,2026-W35,True,False,1278,2101,0.8,5.4,4,1
family_000838,2026-W36,True,True,4439,6150,3.6,9.0,37,2
family_000841,2026-W33,True,True,9056,9056,3.8,3.8,47,2
family_000841,2026-W34,True,True,1661,7578,3.8,7.6,44,2
family_000841,2026-W35,True,False,0,9138,2.4,10.0,18,3
family_000841,2026-W36,True,False,0,5454,0.8,10.8,10,1
family_000843,2026-W33,True,False,0,13850,1.6,1.6,27,2
family_000843,2026-W34,True,True,23968,36052,4.6,6.2,117,2
family_000843,2026-W35,True,True,10693,18560,4.0,10.2,70,2
family_000843,2026-W36,True,False,3440,13652,1.8,12.0,31,2
family_000846,2026-W33,True,False,773,2787,2.4,2.4,5,3
family_000846,2026-W34,True,True,2585,4969,4.4,6.8,34,3
family_000846,2026-W35,True,True,2431,5746,4.4,11.2,36,3
family_000846,2026-W36,True,True,6232,8098,3.6,14.8,41,2
family_000848,2026-W33,True,True,2329,5941,2.8,2.8,36,1
family_000848,2026-W34,True,True,2211,3382,2.8,5.6,31,1
family_000848,2026-W35,True,False,0,0,0.0,5.6,0,0
family_000848,2026-W36,True,False,0,0,0.8,6.4,0,1
family_000849,2026-W33,True,True,2428,5761,3.6,3.6,36,2
family_000849,2026-W34,True,False,0,4632,1.6,5.2,9,2
family_000849,2026-W35,True,True,2554,5585,2.8,8.0,36,1
family_000849,2026-W36,True,True,3429,8770,3.8,11.8,46,2
family_000853,2026-W33,True,False,0,1082,0.8,0.8,2,1
family_000853,2026-W34,True,True,3620,5176,3.8,4.6,39,2
family_000853,2026-W35,True,True,1677,12424,4.2,8.8,61,2
family_000853,2026-W36,True,False,0,4990,1.6,10.4,9,2
family_000856,2026-W33,True,False,2668,2668,1.6,1.6,5,2
family_000856,2026-W34,True,True,3304,7321,4.4,6.0,39,3
